LENGTH	COUNT	PRCT
-7835	1	0.00719942
-6367	1	0.00719942
-6078	1	0.00719942
-6077	2	0.0143988
-6075	1	0.00719942
-6065	1	0.00719942
-6059	1	0.00719942
-6052	1	0.00719942
-6038	1	0.00719942
-6037	1	0.00719942
-5335	1	0.00719942
-5149	1	0.00719942
-5047	1	0.00719942
-4695	1	0.00719942
-4656	1	0.00719942
-4208	1	0.00719942
-3859	1	0.00719942
-3818	1	0.00719942
-3744	1	0.00719942
-3312	1	0.00719942
-3311	1	0.00719942
-3210	1	0.00719942
-3160	1	0.00719942
-3157	1	0.00719942
-3154	1	0.00719942
-3038	1	0.00719942
-2925	1	0.00719942
-2924	1	0.00719942
-2889	1	0.00719942
-2736	1	0.00719942
-2686	1	0.00719942
-2654	1	0.00719942
-2653	1	0.00719942
-2652	1	0.00719942
-2636	1	0.00719942
-2611	1	0.00719942
-2603	1	0.00719942
-2600	1	0.00719942
-2388	1	0.00719942
-2229	1	0.00719942
-2050	1	0.00719942
-2037	1	0.00719942
-2015	1	0.00719942
-1995	1	0.00719942
-1994	1	0.00719942
-1977	1	0.00719942
-1927	1	0.00719942
-1844	1	0.00719942
-1822	1	0.00719942
-1777	1	0.00719942
-1771	1	0.00719942
-1758	1	0.00719942
-1731	1	0.00719942
-1727	1	0.00719942
-1719	1	0.00719942
-1636	1	0.00719942
-1613	1	0.00719942
-1606	1	0.00719942
-1500	1	0.00719942
-1485	1	0.00719942
-1469	1	0.00719942
-1445	1	0.00719942
-1404	1	0.00719942
-1370	1	0.00719942
-1352	2	0.0143988
-1339	1	0.00719942
-1319	1	0.00719942
-1279	1	0.00719942
-1204	1	0.00719942
-1189	1	0.00719942
-1165	1	0.00719942
-1151	1	0.00719942
-1144	2	0.0143988
-1142	1	0.00719942
-1089	1	0.00719942
-1075	1	0.00719942
-1066	1	0.00719942
-1042	1	0.00719942
-1036	1	0.00719942
-1014	1	0.00719942
-995	1	0.00719942
-994	1	0.00719942
-976	1	0.00719942
-964	1	0.00719942
-943	1	0.00719942
-939	1	0.00719942
-920	1	0.00719942
-884	1	0.00719942
-875	1	0.00719942
-866	1	0.00719942
-865	1	0.00719942
-864	2	0.0143988
-860	1	0.00719942
-846	1	0.00719942
-842	1	0.00719942
-835	1	0.00719942
-818	1	0.00719942
-817	1	0.00719942
-816	2	0.0143988
-814	1	0.00719942
-808	1	0.00719942
-806	2	0.0143988
-800	1	0.00719942
-799	1	0.00719942
-796	1	0.00719942
-794	1	0.00719942
-790	1	0.00719942
-780	1	0.00719942
-775	1	0.00719942
-766	1	0.00719942
-764	1	0.00719942
-748	2	0.0143988
-726	1	0.00719942
-700	1	0.00719942
-699	1	0.00719942
-692	1	0.00719942
-684	1	0.00719942
-680	1	0.00719942
-677	1	0.00719942
-650	1	0.00719942
-647	1	0.00719942
-640	1	0.00719942
-621	1	0.00719942
-612	1	0.00719942
-604	1	0.00719942
-601	1	0.00719942
-600	2	0.0143988
-594	1	0.00719942
-570	1	0.00719942
-558	1	0.00719942
-542	1	0.00719942
-531	1	0.00719942
-528	1	0.00719942
-527	1	0.00719942
-520	1	0.00719942
-511	1	0.00719942
-509	6	0.0431965
-506	1	0.00719942
-504	2	0.0143988
-501	1	0.00719942
-499	1	0.00719942
-495	3	0.0215983
-494	1	0.00719942
-493	2	0.0143988
-492	1	0.00719942
-490	1	0.00719942
-486	1	0.00719942
-478	1	0.00719942
-477	1	0.00719942
-476	2	0.0143988
-475	1	0.00719942
-474	1	0.00719942
