LENGTH	COUNT	PRCT
-416	1	0.0090082
-354	1	0.0090082
-340	1	0.0090082
-101	1	0.0090082
-84	1	0.0090082
-78	1	0.0090082
-77	1	0.0090082
-72	2	0.0180164
-68	2	0.0180164
-67	3	0.0270246
-66	2	0.0180164
-65	2	0.0180164
-64	2	0.0180164
-63	5	0.045041
-61	1	0.0090082
-60	8	0.0720656
-59	3	0.0270246
-58	6	0.0540492
-57	4	0.0360328
-56	7	0.0630574
-55	2	0.0180164
-54	8	0.0720656
-53	3	0.0270246
-52	9	0.0810738
-51	8	0.0720656
-50	15	0.135123
-49	7	0.0630574
-48	19	0.171156
-47	4	0.0360328
-46	14	0.126115
-45	8	0.0720656
-44	16	0.144131
-43	8	0.0720656
-42	24	0.216197
-41	12	0.108098
-40	36	0.324295
-39	23	0.207189
-38	33	0.297271
-37	15	0.135123
-36	44	0.396361
-35	22	0.19818
-34	31	0.279254
-33	25	0.225205
-32	62	0.558508
-31	22	0.19818
-30	71	0.639582
-29	35	0.315287
-28	81	0.729664
-27	48	0.432393
-26	68	0.612557
-25	53	0.477434
-24	134	1.2071
-23	42	0.378344
-22	110	0.990902
-21	59	0.531484
-20	211	1.90073
-19	80	0.720656
-18	172	1.54941
-17	108	0.972885
-16	313	2.81957
-15	182	1.63949
-14	311	2.80155
-13	211	1.90073
-12	644	5.80128
-11	268	2.4142
-10	659	5.9364
-9	379	3.41411
-8	115	1.03594
-7	14	0.126115
-6	92	0.828754
-5	35	0.315287
-4	108	0.972885
-3	35	0.315287
-2	105	0.945861
-1	43	0.387352
1	36	0.324295
2	59	0.531484
3	19	0.171156
4	103	0.927844
5	36	0.324295
6	62	0.558508
7	14	0.126115
8	104	0.936853
9	361	3.25196
10	650	5.85533
11	226	2.03585
12	607	5.46798
13	161	1.45032
14	308	2.77452
15	179	1.61247
16	320	2.88262
17	67	0.603549
18	165	1.48635
19	68	0.612557
20	241	2.17098
21	83	0.74768
22	110	0.990902
23	47	0.423385
24	129	1.16206
25	55	0.495451
26	88	0.792721
27	51	0.459418
28	83	0.74768
29	16	0.144131
30	71	0.639582
31	21	0.189172
32	71	0.639582
33	23	0.207189
34	49	0.441402
35	26	0.234213
36	49	0.441402
37	12	0.108098
38	30	0.270246
39	16	0.144131
40	40	0.360328
41	15	0.135123
42	23	0.207189
43	12	0.108098
44	21	0.189172
45	10	0.090082
46	18	0.162148
47	10	0.090082
48	33	0.297271
49	9	0.0810738
50	10	0.090082
51	15	0.135123
52	13	0.117107
53	5	0.045041
54	10	0.090082
55	2	0.0180164
56	11	0.0990902
57	8	0.0720656
58	9	0.0810738
59	7	0.0630574
60	17	0.153139
61	7	0.0630574
62	6	0.0540492
63	5	0.045041
64	10	0.090082
65	7	0.0630574
66	10	0.090082
67	3	0.0270246
68	15	0.135123
69	6	0.0540492
70	12	0.108098
71	4	0.0360328
72	9	0.0810738
73	2	0.0180164
74	6	0.0540492
75	5	0.045041
76	3	0.0270246
77	5	0.045041
78	14	0.126115
79	2	0.0180164
80	9	0.0810738
81	5	0.045041
82	5	0.045041
83	1	0.0090082
84	10	0.090082
85	2	0.0180164
86	4	0.0360328
87	4	0.0360328
88	7	0.0630574
89	4	0.0360328
90	8	0.0720656
91	1	0.0090082
92	4	0.0360328
93	4	0.0360328
94	2	0.0180164
95	3	0.0270246
96	8	0.0720656
97	4	0.0360328
98	9	0.0810738
99	4	0.0360328
100	10	0.090082
102	10	0.090082
103	3	0.0270246
104	3	0.0270246
105	6	0.0540492
106	4	0.0360328
107	3	0.0270246
108	7	0.0630574
109	1	0.0090082
110	4	0.0360328
111	2	0.0180164
112	2	0.0180164
113	3	0.0270246
114	6	0.0540492
115	1	0.0090082
116	4	0.0360328
117	5	0.045041
118	8	0.0720656
119	3	0.0270246
120	8	0.0720656
121	4	0.0360328
122	2	0.0180164
123	1	0.0090082
124	4	0.0360328
125	1	0.0090082
126	5	0.045041
127	4	0.0360328
128	4	0.0360328
129	3	0.0270246
130	2	0.0180164
131	3	0.0270246
132	4	0.0360328
133	5	0.045041
134	3	0.0270246
135	2	0.0180164
136	1	0.0090082
137	2	0.0180164
138	3	0.0270246
139	1	0.0090082
140	3	0.0270246
141	3	0.0270246
143	1	0.0090082
144	2	0.0180164
145	1	0.0090082
147	2	0.0180164
148	1	0.0090082
149	1	0.0090082
150	3	0.0270246
151	1	0.0090082
152	4	0.0360328
154	5	0.045041
155	1	0.0090082
156	5	0.045041
157	1	0.0090082
158	1	0.0090082
159	2	0.0180164
160	4	0.0360328
161	2	0.0180164
162	1	0.0090082
165	3	0.0270246
166	3	0.0270246
168	3	0.0270246
170	1	0.0090082
173	1	0.0090082
174	1	0.0090082
175	1	0.0090082
176	4	0.0360328
177	2	0.0180164
178	3	0.0270246
180	4	0.0360328
182	1	0.0090082
183	2	0.0180164
184	1	0.0090082
185	1	0.0090082
187	2	0.0180164
188	1	0.0090082
189	3	0.0270246
190	2	0.0180164
192	2	0.0180164
196	2	0.0180164
198	1	0.0090082
199	2	0.0180164
201	1	0.0090082
204	3	0.0270246
206	1	0.0090082
213	1	0.0090082
214	1	0.0090082
215	1	0.0090082
216	1	0.0090082
217	4	0.0360328
219	2	0.0180164
220	1	0.0090082
222	1	0.0090082
223	3	0.0270246
224	2	0.0180164
225	1	0.0090082
226	1	0.0090082
228	1	0.0090082
229	2	0.0180164
234	2	0.0180164
236	1	0.0090082
237	1	0.0090082
240	4	0.0360328
241	1	0.0090082
243	1	0.0090082
245	2	0.0180164
246	2	0.0180164
251	2	0.0180164
253	3	0.0270246
255	2	0.0180164
259	1	0.0090082
260	1	0.0090082
264	1	0.0090082
266	1	0.0090082
268	2	0.0180164
270	1	0.0090082
271	1	0.0090082
272	1	0.0090082
275	1	0.0090082
279	2	0.0180164
281	1	0.0090082
284	1	0.0090082
285	1	0.0090082
287	1	0.0090082
288	1	0.0090082
295	1	0.0090082
298	1	0.0090082
299	1	0.0090082
303	2	0.0180164
305	3	0.0270246
306	1	0.0090082
307	1	0.0090082
310	1	0.0090082
311	2	0.0180164
313	2	0.0180164
314	1	0.0090082
315	2	0.0180164
316	1	0.0090082
317	1	0.0090082
318	1	0.0090082
319	2	0.0180164
320	3	0.0270246
321	1	0.0090082
322	2	0.0180164
323	3	0.0270246
324	5	0.045041
326	1	0.0090082
329	1	0.0090082
330	1	0.0090082
336	1	0.0090082
338	1	0.0090082
342	1	0.0090082
344	1	0.0090082
350	1	0.0090082
353	1	0.0090082
354	1	0.0090082
357	1	0.0090082
358	1	0.0090082
360	2	0.0180164
361	1	0.0090082
364	2	0.0180164
366	1	0.0090082
374	1	0.0090082
377	1	0.0090082
379	1	0.0090082
382	1	0.0090082
392	1	0.0090082
396	1	0.0090082
398	1	0.0090082
404	2	0.0180164
414	1	0.0090082
418	1	0.0090082
430	1	0.0090082
432	1	0.0090082
437	1	0.0090082
439	1	0.0090082
443	1	0.0090082
448	2	0.0180164
450	1	0.0090082
453	1	0.0090082
458	1	0.0090082
465	1	0.0090082
470	2	0.0180164
483	1	0.0090082
485	1	0.0090082
490	1	0.0090082
495	1	0.0090082
500	1	0.0090082
511	1	0.0090082
521	1	0.0090082
526	1	0.0090082
528	1	0.0090082
533	1	0.0090082
547	1	0.0090082
556	1	0.0090082
559	1	0.0090082
560	2	0.0180164
570	1	0.0090082
571	2	0.0180164
573	1	0.0090082
583	1	0.0090082
590	1	0.0090082
591	1	0.0090082
606	1	0.0090082
608	1	0.0090082
609	1	0.0090082
612	1	0.0090082
622	1	0.0090082
637	1	0.0090082
639	1	0.0090082
647	1	0.0090082
659	1	0.0090082
666	1	0.0090082
668	1	0.0090082
672	1	0.0090082
687	1	0.0090082
692	1	0.0090082
696	1	0.0090082
697	1	0.0090082
700	1	0.0090082
705	1	0.0090082
711	1	0.0090082
719	2	0.0180164
732	1	0.0090082
734	1	0.0090082
735	1	0.0090082
746	1	0.0090082
785	1	0.0090082
786	1	0.0090082
795	2	0.0180164
798	1	0.0090082
906	1	0.0090082
912	1	0.0090082
1011	1	0.0090082
1023	1	0.0090082
1105	1	0.0090082
1114	1	0.0090082
1120	1	0.0090082
1245	1	0.0090082
1272	1	0.0090082
1285	1	0.0090082
1287	1	0.0090082
1575	1	0.0090082
1663	1	0.0090082
1896	1	0.0090082
2013	1	0.0090082
