LENGTH	COUNT	PRCT
30	134	4.04467
31	147	4.43707
32	78	2.35436
33	104	3.13915
34	73	2.20344
35	92	2.77694
36	52	1.56957
37	64	1.93178
38	47	1.41865
39	82	2.4751
40	48	1.44884
41	48	1.44884
42	39	1.17718
43	52	1.56957
44	54	1.62994
45	37	1.11681
46	39	1.17718
47	44	1.3281
48	30	0.905524
49	26	0.784787
50	30	0.905524
51	34	1.02626
52	27	0.814971
53	24	0.724419
54	24	0.724419
55	32	0.965892
56	22	0.664051
57	18	0.543314
58	21	0.633867
59	28	0.845155
60	16	0.482946
61	19	0.573498
62	19	0.573498
63	21	0.633867
64	12	0.362209
65	15	0.452762
66	10	0.301841
67	19	0.573498
68	19	0.573498
69	21	0.633867
70	19	0.573498
71	18	0.543314
72	7	0.211289
73	10	0.301841
74	15	0.452762
75	15	0.452762
76	14	0.422578
77	18	0.543314
78	11	0.332025
79	17	0.51313
80	14	0.422578
81	13	0.392394
82	7	0.211289
83	22	0.664051
84	8	0.241473
85	10	0.301841
86	8	0.241473
87	9	0.271657
88	14	0.422578
89	12	0.362209
90	3	0.0905524
91	10	0.301841
92	9	0.271657
93	7	0.211289
94	5	0.150921
95	10	0.301841
96	10	0.301841
97	11	0.332025
98	5	0.150921
99	19	0.573498
100	8	0.241473
101	12	0.362209
102	6	0.181105
103	5	0.150921
104	10	0.301841
105	3	0.0905524
106	9	0.271657
107	13	0.392394
108	4	0.120736
109	8	0.241473
110	4	0.120736
111	5	0.150921
112	5	0.150921
113	6	0.181105
114	6	0.181105
115	3	0.0905524
116	6	0.181105
117	8	0.241473
118	5	0.150921
119	15	0.452762
120	3	0.0905524
121	4	0.120736
122	1	0.0301841
123	10	0.301841
124	3	0.0905524
125	6	0.181105
126	4	0.120736
127	2	0.0603682
128	5	0.150921
129	5	0.150921
130	4	0.120736
131	6	0.181105
132	8	0.241473
133	1	0.0301841
134	6	0.181105
135	3	0.0905524
136	4	0.120736
137	3	0.0905524
138	3	0.0905524
139	1	0.0301841
140	3	0.0905524
141	1	0.0301841
142	2	0.0603682
143	4	0.120736
144	2	0.0603682
145	2	0.0603682
146	6	0.181105
147	3	0.0905524
148	1	0.0301841
149	6	0.181105
150	1	0.0301841
151	6	0.181105
152	1	0.0301841
153	5	0.150921
154	6	0.181105
155	6	0.181105
156	2	0.0603682
157	2	0.0603682
158	2	0.0603682
159	3	0.0905524
160	6	0.181105
161	3	0.0905524
162	2	0.0603682
163	4	0.120736
164	3	0.0905524
165	5	0.150921
166	1	0.0301841
167	2	0.0603682
168	2	0.0603682
169	2	0.0603682
171	1	0.0301841
172	4	0.120736
173	2	0.0603682
174	6	0.181105
175	1	0.0301841
176	2	0.0603682
177	5	0.150921
178	2	0.0603682
179	3	0.0905524
180	1	0.0301841
181	1	0.0301841
182	1	0.0301841
183	2	0.0603682
184	3	0.0905524
185	4	0.120736
186	2	0.0603682
187	3	0.0905524
188	3	0.0905524
189	2	0.0603682
191	2	0.0603682
192	3	0.0905524
193	3	0.0905524
194	2	0.0603682
195	2	0.0603682
196	4	0.120736
198	4	0.120736
199	3	0.0905524
200	4	0.120736
201	2	0.0603682
202	1	0.0301841
203	5	0.150921
205	3	0.0905524
206	2	0.0603682
207	3	0.0905524
209	1	0.0301841
211	1	0.0301841
212	2	0.0603682
213	2	0.0603682
214	1	0.0301841
215	3	0.0905524
216	2	0.0603682
218	2	0.0603682
219	3	0.0905524
222	3	0.0905524
223	1	0.0301841
224	1	0.0301841
225	3	0.0905524
226	2	0.0603682
228	2	0.0603682
230	1	0.0301841
231	1	0.0301841
232	2	0.0603682
233	3	0.0905524
236	2	0.0603682
237	1	0.0301841
238	1	0.0301841
239	3	0.0905524
240	2	0.0603682
241	1	0.0301841
244	1	0.0301841
245	2	0.0603682
246	1	0.0301841
248	3	0.0905524
249	1	0.0301841
250	2	0.0603682
251	1	0.0301841
252	4	0.120736
253	1	0.0301841
254	1	0.0301841
255	2	0.0603682
257	1	0.0301841
258	1	0.0301841
259	1	0.0301841
260	1	0.0301841
265	1	0.0301841
267	1	0.0301841
268	1	0.0301841
269	1	0.0301841
271	2	0.0603682
272	1	0.0301841
273	1	0.0301841
274	2	0.0603682
276	1	0.0301841
278	3	0.0905524
279	2	0.0603682
280	1	0.0301841
281	2	0.0603682
284	1	0.0301841
286	2	0.0603682
290	1	0.0301841
291	2	0.0603682
293	2	0.0603682
294	3	0.0905524
295	1	0.0301841
296	2	0.0603682
297	4	0.120736
298	1	0.0301841
300	1	0.0301841
302	2	0.0603682
304	3	0.0905524
305	6	0.181105
306	1	0.0301841
307	3	0.0905524
308	6	0.181105
309	4	0.120736
310	5	0.150921
311	3	0.0905524
312	3	0.0905524
313	7	0.211289
314	5	0.150921
315	8	0.241473
316	4	0.120736
317	6	0.181105
318	5	0.150921
319	5	0.150921
320	3	0.0905524
321	3	0.0905524
322	10	0.301841
323	4	0.120736
324	5	0.150921
325	4	0.120736
326	5	0.150921
327	2	0.0603682
328	4	0.120736
329	6	0.181105
330	4	0.120736
331	3	0.0905524
332	4	0.120736
333	5	0.150921
334	1	0.0301841
335	4	0.120736
336	5	0.150921
337	2	0.0603682
338	6	0.181105
339	1	0.0301841
340	3	0.0905524
341	3	0.0905524
342	3	0.0905524
343	3	0.0905524
344	1	0.0301841
345	1	0.0301841
348	2	0.0603682
349	1	0.0301841
352	2	0.0603682
355	2	0.0603682
356	2	0.0603682
357	1	0.0301841
359	1	0.0301841
360	1	0.0301841
362	1	0.0301841
363	3	0.0905524
364	2	0.0603682
368	2	0.0603682
369	1	0.0301841
370	1	0.0301841
371	2	0.0603682
373	1	0.0301841
374	1	0.0301841
375	3	0.0905524
376	3	0.0905524
378	1	0.0301841
379	1	0.0301841
381	2	0.0603682
383	1	0.0301841
386	1	0.0301841
387	2	0.0603682
388	1	0.0301841
389	1	0.0301841
390	1	0.0301841
391	1	0.0301841
394	1	0.0301841
398	2	0.0603682
399	1	0.0301841
401	2	0.0603682
407	1	0.0301841
411	1	0.0301841
415	1	0.0301841
421	2	0.0603682
424	1	0.0301841
426	1	0.0301841
429	1	0.0301841
430	1	0.0301841
431	2	0.0603682
432	2	0.0603682
436	1	0.0301841
438	2	0.0603682
439	2	0.0603682
442	2	0.0603682
446	1	0.0301841
447	1	0.0301841
449	2	0.0603682
450	3	0.0905524
452	1	0.0301841
457	1	0.0301841
460	1	0.0301841
463	1	0.0301841
464	1	0.0301841
466	1	0.0301841
467	1	0.0301841
468	1	0.0301841
469	1	0.0301841
472	1	0.0301841
475	1	0.0301841
481	2	0.0603682
484	1	0.0301841
488	2	0.0603682
489	1	0.0301841
492	3	0.0905524
493	1	0.0301841
494	1	0.0301841
496	1	0.0301841
498	1	0.0301841
499	1	0.0301841
501	1	0.0301841
502	4	0.120736
503	1	0.0301841
510	1	0.0301841
511	1	0.0301841
514	1	0.0301841
517	1	0.0301841
518	1	0.0301841
519	2	0.0603682
520	1	0.0301841
522	2	0.0603682
525	1	0.0301841
529	1	0.0301841
531	1	0.0301841
532	1	0.0301841
533	1	0.0301841
535	2	0.0603682
537	2	0.0603682
539	2	0.0603682
541	1	0.0301841
542	1	0.0301841
544	1	0.0301841
546	1	0.0301841
547	1	0.0301841
549	2	0.0603682
550	1	0.0301841
554	2	0.0603682
555	1	0.0301841
556	1	0.0301841
558	1	0.0301841
559	1	0.0301841
561	2	0.0603682
563	2	0.0603682
565	1	0.0301841
568	1	0.0301841
569	2	0.0603682
571	1	0.0301841
578	1	0.0301841
579	1	0.0301841
580	2	0.0603682
582	1	0.0301841
589	2	0.0603682
590	1	0.0301841
592	1	0.0301841
593	1	0.0301841
601	1	0.0301841
604	1	0.0301841
606	2	0.0603682
607	1	0.0301841
608	1	0.0301841
609	1	0.0301841
610	1	0.0301841
611	2	0.0603682
613	2	0.0603682
614	1	0.0301841
621	1	0.0301841
624	1	0.0301841
625	1	0.0301841
627	1	0.0301841
628	1	0.0301841
631	1	0.0301841
635	1	0.0301841
636	1	0.0301841
637	1	0.0301841
643	1	0.0301841
645	1	0.0301841
650	1	0.0301841
651	1	0.0301841
653	1	0.0301841
655	1	0.0301841
656	1	0.0301841
665	1	0.0301841
671	1	0.0301841
672	2	0.0603682
674	1	0.0301841
676	1	0.0301841
686	1	0.0301841
695	3	0.0905524
698	1	0.0301841
699	1	0.0301841
702	1	0.0301841
704	1	0.0301841
718	1	0.0301841
719	1	0.0301841
720	1	0.0301841
723	1	0.0301841
731	2	0.0603682
733	1	0.0301841
734	1	0.0301841
739	1	0.0301841
741	1	0.0301841
745	2	0.0603682
758	1	0.0301841
765	1	0.0301841
767	1	0.0301841
774	1	0.0301841
778	3	0.0905524
787	1	0.0301841
794	1	0.0301841
804	1	0.0301841
806	2	0.0603682
807	1	0.0301841
814	1	0.0301841
820	1	0.0301841
826	1	0.0301841
837	1	0.0301841
856	1	0.0301841
862	2	0.0603682
865	1	0.0301841
894	1	0.0301841
895	1	0.0301841
899	1	0.0301841
900	1	0.0301841
906	1	0.0301841
908	1	0.0301841
911	1	0.0301841
917	1	0.0301841
933	1	0.0301841
939	1	0.0301841
949	2	0.0603682
951	1	0.0301841
964	1	0.0301841
970	1	0.0301841
998	67	2.02234
1002	1	0.0301841
1006	1	0.0301841
1010	1	0.0301841
1012	1	0.0301841
1020	1	0.0301841
1022	1	0.0301841
1029	1	0.0301841
1031	1	0.0301841
1049	1	0.0301841
1054	2	0.0603682
1069	1	0.0301841
1070	1	0.0301841
1077	1	0.0301841
1082	1	0.0301841
1088	1	0.0301841
1090	2	0.0603682
1104	1	0.0301841
1113	1	0.0301841
1123	1	0.0301841
1146	1	0.0301841
1150	1	0.0301841
1197	1	0.0301841
1216	1	0.0301841
1222	1	0.0301841
1238	1	0.0301841
1248	1	0.0301841
1270	1	0.0301841
1275	1	0.0301841
1280	1	0.0301841
1284	1	0.0301841
1291	1	0.0301841
1314	1	0.0301841
1321	1	0.0301841
1343	1	0.0301841
1355	1	0.0301841
1372	1	0.0301841
1390	1	0.0301841
1419	2	0.0603682
1457	1	0.0301841
1466	1	0.0301841
1474	1	0.0301841
1498	1	0.0301841
1500	1	0.0301841
1522	1	0.0301841
1573	1	0.0301841
1575	1	0.0301841
1595	1	0.0301841
1627	1	0.0301841
1666	1	0.0301841
1689	1	0.0301841
1691	1	0.0301841
1698	2	0.0603682
1701	1	0.0301841
1761	1	0.0301841
1785	1	0.0301841
1794	1	0.0301841
1820	1	0.0301841
1833	1	0.0301841
1863	1	0.0301841
1877	1	0.0301841
1890	1	0.0301841
1897	1	0.0301841
2018	1	0.0301841
2035	1	0.0301841
2132	1	0.0301841
2137	1	0.0301841
2151	1	0.0301841
2165	2	0.0603682
2176	1	0.0301841
2191	1	0.0301841
2206	1	0.0301841
2306	1	0.0301841
2328	1	0.0301841
2405	1	0.0301841
2441	1	0.0301841
2483	1	0.0301841
2539	1	0.0301841
2645	1	0.0301841
2702	1	0.0301841
2725	1	0.0301841
2819	1	0.0301841
2846	1	0.0301841
2891	1	0.0301841
2930	1	0.0301841
2931	1	0.0301841
2948	1	0.0301841
2979	1	0.0301841
3018	1	0.0301841
3430	1	0.0301841
3539	1	0.0301841
3671	1	0.0301841
3763	1	0.0301841
3894	1	0.0301841
3934	1	0.0301841
3941	1	0.0301841
4031	1	0.0301841
4103	1	0.0301841
4134	1	0.0301841
4259	1	0.0301841
4514	1	0.0301841
4525	1	0.0301841
4571	1	0.0301841
4873	1	0.0301841
5044	1	0.0301841
5093	1	0.0301841
5156	1	0.0301841
5449	1	0.0301841
5535	1	0.0301841
5612	1	0.0301841
5923	1	0.0301841
5989	1	0.0301841
6124	1	0.0301841
6209	1	0.0301841
6295	1	0.0301841
6428	1	0.0301841
6542	1	0.0301841
6547	1	0.0301841
6548	1	0.0301841
6555	1	0.0301841
6563	1	0.0301841
6579	1	0.0301841
6614	1	0.0301841
6769	1	0.0301841
6773	1	0.0301841
6803	1	0.0301841
6903	1	0.0301841
6986	1	0.0301841
7103	1	0.0301841
7158	1	0.0301841
7179	1	0.0301841
7212	1	0.0301841
7246	1	0.0301841
7268	1	0.0301841
7302	1	0.0301841
7316	1	0.0301841
7346	1	0.0301841
7498	1	0.0301841
7639	1	0.0301841
7672	1	0.0301841
7765	1	0.0301841
7818	1	0.0301841
7890	1	0.0301841
7895	1	0.0301841
7915	1	0.0301841
7939	1	0.0301841
7986	1	0.0301841
8042	1	0.0301841
8062	2	0.0603682
8120	1	0.0301841
8133	1	0.0301841
8162	1	0.0301841
8175	1	0.0301841
8195	1	0.0301841
8212	1	0.0301841
8222	1	0.0301841
8239	1	0.0301841
8274	1	0.0301841
8284	1	0.0301841
8305	1	0.0301841
8380	1	0.0301841
8383	1	0.0301841
8423	1	0.0301841
8575	1	0.0301841
8598	1	0.0301841
8604	1	0.0301841
8618	1	0.0301841
8632	1	0.0301841
8638	1	0.0301841
8664	1	0.0301841
8697	1	0.0301841
8728	1	0.0301841
8772	1	0.0301841
8824	1	0.0301841
8886	1	0.0301841
8942	1	0.0301841
8943	1	0.0301841
8962	1	0.0301841
9043	1	0.0301841
9074	1	0.0301841
9093	1	0.0301841
9097	1	0.0301841
9098	1	0.0301841
9120	1	0.0301841
9121	1	0.0301841
9147	1	0.0301841
9159	1	0.0301841
9179	1	0.0301841
9180	1	0.0301841
9217	1	0.0301841
9240	1	0.0301841
9263	1	0.0301841
9265	1	0.0301841
9333	1	0.0301841
9344	1	0.0301841
9389	1	0.0301841
9407	1	0.0301841
9433	1	0.0301841
9449	1	0.0301841
9456	2	0.0603682
9462	1	0.0301841
9525	1	0.0301841
9532	1	0.0301841
9557	1	0.0301841
9598	1	0.0301841
9631	1	0.0301841
9632	1	0.0301841
9644	1	0.0301841
9655	1	0.0301841
9681	1	0.0301841
9704	1	0.0301841
9749	1	0.0301841
9774	1	0.0301841
9784	1	0.0301841
9803	1	0.0301841
9819	1	0.0301841
9960	1	0.0301841
9983	1	0.0301841
10203	1	0.0301841
10224	1	0.0301841
10239	1	0.0301841
10269	1	0.0301841
10328	1	0.0301841
10361	1	0.0301841
10384	1	0.0301841
10590	1	0.0301841
10628	1	0.0301841
12297	1	0.0301841
12350	1	0.0301841
