LENGTH	COUNT	PRCT
-86616	1	0.0107239
-65313	1	0.0107239
-49500	1	0.0107239
-48204	1	0.0107239
-38209	1	0.0107239
-35892	1	0.0107239
-33387	1	0.0107239
-23977	1	0.0107239
-21761	1	0.0107239
-10421	1	0.0107239
-10379	1	0.0107239
-10025	1	0.0107239
-7771	1	0.0107239
-7466	1	0.0107239
-6367	1	0.0107239
-6105	1	0.0107239
-6078	1	0.0107239
-6077	1	0.0107239
-6075	2	0.0214477
-6065	1	0.0107239
-6052	1	0.0107239
-5971	1	0.0107239
-5406	1	0.0107239
-5232	1	0.0107239
-5149	1	0.0107239
-4663	1	0.0107239
-4324	1	0.0107239
-4299	1	0.0107239
-4233	1	0.0107239
-3997	1	0.0107239
-3818	1	0.0107239
-3744	1	0.0107239
-3312	1	0.0107239
-3311	1	0.0107239
-3157	1	0.0107239
-3154	1	0.0107239
-2977	1	0.0107239
-2686	1	0.0107239
-2653	1	0.0107239
-2647	1	0.0107239
-2603	1	0.0107239
-2432	1	0.0107239
-2429	1	0.0107239
-2384	1	0.0107239
-2371	1	0.0107239
-2370	1	0.0107239
-2117	1	0.0107239
-2015	1	0.0107239
-1980	1	0.0107239
-1925	1	0.0107239
-1822	1	0.0107239
-1785	1	0.0107239
-1739	1	0.0107239
-1699	1	0.0107239
-1647	1	0.0107239
-1606	1	0.0107239
-1575	1	0.0107239
-1515	1	0.0107239
-1502	1	0.0107239
-1500	1	0.0107239
-1485	1	0.0107239
-1407	1	0.0107239
-1404	1	0.0107239
-1354	1	0.0107239
-1352	1	0.0107239
-1341	1	0.0107239
-1339	1	0.0107239
-1303	1	0.0107239
-1190	1	0.0107239
-1172	1	0.0107239
-1170	1	0.0107239
-1151	1	0.0107239
-1128	1	0.0107239
-1110	1	0.0107239
-1109	1	0.0107239
-1107	1	0.0107239
-1089	1	0.0107239
-1075	1	0.0107239
-1073	1	0.0107239
-1066	1	0.0107239
-1042	2	0.0214477
-1036	1	0.0107239
-995	1	0.0107239
-970	1	0.0107239
-964	1	0.0107239
-958	1	0.0107239
-936	1	0.0107239
-888	1	0.0107239
-886	1	0.0107239
-884	1	0.0107239
-864	1	0.0107239
-861	1	0.0107239
-860	1	0.0107239
-846	1	0.0107239
-842	1	0.0107239
-832	1	0.0107239
-815	1	0.0107239
-812	1	0.0107239
-808	1	0.0107239
-804	1	0.0107239
-800	1	0.0107239
-796	1	0.0107239
-794	1	0.0107239
-790	1	0.0107239
-780	1	0.0107239
-775	1	0.0107239
-764	1	0.0107239
-759	2	0.0214477
-748	1	0.0107239
-744	1	0.0107239
-702	1	0.0107239
-700	1	0.0107239
-695	1	0.0107239
-688	1	0.0107239
-672	1	0.0107239
-655	1	0.0107239
-650	1	0.0107239
-647	1	0.0107239
-631	1	0.0107239
-621	1	0.0107239
-617	1	0.0107239
-604	1	0.0107239
-601	1	0.0107239
-594	1	0.0107239
-574	1	0.0107239
-572	1	0.0107239
-570	1	0.0107239
-561	2	0.0214477
-557	1	0.0107239
-553	1	0.0107239
-536	1	0.0107239
-531	1	0.0107239
-528	1	0.0107239
-522	1	0.0107239
-521	1	0.0107239
-514	1	0.0107239
-500	1	0.0107239
-499	1	0.0107239
-496	1	0.0107239
-495	1	0.0107239
-493	2	0.0214477
-486	1	0.0107239
-476	2	0.0214477
-470	1	0.0107239
-456	1	0.0107239
-454	1	0.0107239
-452	1	0.0107239
-450	1	0.0107239
-441	1	0.0107239
-435	1	0.0107239
-432	1	0.0107239
-428	3	0.0321716
-423	1	0.0107239
-419	1	0.0107239
-416	1	0.0107239
-411	1	0.0107239
-400	1	0.0107239
-399	1	0.0107239
-397	1	0.0107239
-388	1	0.0107239
-385	1	0.0107239
-384	1	0.0107239
-376	1	0.0107239
-374	1	0.0107239
-373	1	0.0107239
-371	1	0.0107239
-363	1	0.0107239
-361	1	0.0107239
-360	2	0.0214477
-356	1	0.0107239
-354	1	0.0107239
-353	1	0.0107239
-352	1	0.0107239
-351	2	0.0214477
-348	1	0.0107239
-344	2	0.0214477
-342	1	0.0107239
-341	1	0.0107239
-339	2	0.0214477
-338	2	0.0214477
-337	1	0.0107239
-336	1	0.0107239
-335	3	0.0321716
-334	2	0.0214477
-333	3	0.0321716
-332	1	0.0107239
-331	4	0.0428954
-330	2	0.0214477
-328	1	0.0107239
-327	4	0.0428954
-326	5	0.0536193
-325	2	0.0214477
-324	3	0.0321716
-323	5	0.0536193
-322	2	0.0214477
-321	4	0.0428954
-320	6	0.0643432
-319	6	0.0643432
-318	3	0.0321716
-317	5	0.0536193
-316	2	0.0214477
-315	7	0.075067
-314	2	0.0214477
-313	5	0.0536193
-312	7	0.075067
-311	4	0.0428954
-310	2	0.0214477
-309	1	0.0107239
-308	4	0.0428954
-307	2	0.0214477
-306	1	0.0107239
-305	2	0.0214477
-304	1	0.0107239
-303	1	0.0107239
-302	3	0.0321716
-298	1	0.0107239
-296	1	0.0107239
-294	2	0.0214477
-293	2	0.0214477
-292	1	0.0107239
-288	2	0.0214477
-287	2	0.0214477
-285	2	0.0214477
-284	2	0.0214477
-282	1	0.0107239
-281	2	0.0214477
-280	1	0.0107239
-274	1	0.0107239
-270	1	0.0107239
-268	1	0.0107239
-267	1	0.0107239
-266	1	0.0107239
-265	1	0.0107239
-264	1	0.0107239
-262	1	0.0107239
-259	1	0.0107239
-258	2	0.0214477
-256	1	0.0107239
-255	1	0.0107239
-254	2	0.0214477
-252	1	0.0107239
-251	2	0.0214477
-250	1	0.0107239
-246	1	0.0107239
-239	1	0.0107239
-238	1	0.0107239
-237	2	0.0214477
-236	1	0.0107239
-234	1	0.0107239
-233	2	0.0214477
-232	1	0.0107239
-231	1	0.0107239
-229	1	0.0107239
-226	1	0.0107239
-225	2	0.0214477
-224	1	0.0107239
-223	1	0.0107239
-221	1	0.0107239
-220	1	0.0107239
-217	1	0.0107239
-216	3	0.0321716
-215	2	0.0214477
-214	1	0.0107239
-212	1	0.0107239
-210	1	0.0107239
-207	1	0.0107239
-206	1	0.0107239
-205	1	0.0107239
-204	2	0.0214477
-202	2	0.0214477
-199	1	0.0107239
-196	1	0.0107239
-195	1	0.0107239
-192	4	0.0428954
-190	1	0.0107239
-189	4	0.0428954
-188	4	0.0428954
-187	2	0.0214477
-186	1	0.0107239
-185	1	0.0107239
-184	1	0.0107239
-182	1	0.0107239
-181	1	0.0107239
-180	1	0.0107239
-178	1	0.0107239
-177	1	0.0107239
-176	1	0.0107239
-175	1	0.0107239
-174	3	0.0321716
-172	2	0.0214477
-168	3	0.0321716
-167	1	0.0107239
-165	1	0.0107239
-164	3	0.0321716
-163	2	0.0214477
-161	1	0.0107239
-160	1	0.0107239
-159	1	0.0107239
-158	1	0.0107239
-157	2	0.0214477
-156	2	0.0214477
-155	2	0.0214477
-152	4	0.0428954
-151	1	0.0107239
-150	1	0.0107239
-148	1	0.0107239
-147	1	0.0107239
-146	2	0.0214477
-145	1	0.0107239
-144	3	0.0321716
-143	3	0.0321716
-142	3	0.0321716
-141	2	0.0214477
-139	1	0.0107239
-138	1	0.0107239
-137	3	0.0321716
-136	3	0.0321716
-135	2	0.0214477
-134	4	0.0428954
-133	1	0.0107239
-132	1	0.0107239
-131	1	0.0107239
