LENGTH	COUNT	PRCT
10	229	5.62239
11	500	12.276
12	161	3.95286
13	255	6.26074
14	165	4.05107
15	253	6.21164
16	80	1.96415
17	151	3.70734
18	70	1.71863
19	176	4.32114
20	65	1.59588
21	91	2.23423
22	52	1.2767
23	118	2.89713
24	51	1.25215
25	86	2.11147
26	40	0.982077
27	81	1.98871
28	24	0.589246
29	63	1.54677
30	28	0.687454
31	52	1.2767
32	22	0.540142
33	27	0.662902
34	31	0.76111
35	31	0.76111
36	22	0.540142
37	23	0.564694
38	14	0.343727
39	41	1.00663
40	16	0.392831
41	29	0.712006
42	10	0.245519
43	18	0.441935
44	17	0.417383
45	12	0.294623
46	7	0.171863
47	19	0.466487
48	11	0.270071
49	10	0.245519
50	7	0.171863
51	10	0.245519
52	2	0.0491039
53	10	0.245519
54	5	0.12276
55	12	0.294623
56	3	0.0736558
57	8	0.196415
58	5	0.12276
59	13	0.319175
60	10	0.245519
61	6	0.147312
62	3	0.0736558
63	10	0.245519
64	4	0.0982077
65	6	0.147312
66	6	0.147312
67	6	0.147312
68	9	0.220967
69	4	0.0982077
70	3	0.0736558
71	8	0.196415
72	1	0.0245519
73	3	0.0736558
74	4	0.0982077
75	4	0.0982077
76	1	0.0245519
77	3	0.0736558
78	1	0.0245519
79	9	0.220967
80	6	0.147312
81	7	0.171863
82	1	0.0245519
83	5	0.12276
84	3	0.0736558
85	8	0.196415
86	2	0.0491039
87	7	0.171863
88	3	0.0736558
89	4	0.0982077
90	1	0.0245519
91	3	0.0736558
92	3	0.0736558
93	1	0.0245519
94	3	0.0736558
95	4	0.0982077
96	3	0.0736558
97	5	0.12276
98	7	0.171863
99	11	0.270071
100	4	0.0982077
101	5	0.12276
102	1	0.0245519
103	3	0.0736558
104	4	0.0982077
105	3	0.0736558
106	3	0.0736558
107	5	0.12276
108	3	0.0736558
109	4	0.0982077
110	3	0.0736558
111	1	0.0245519
112	2	0.0491039
113	4	0.0982077
114	1	0.0245519
115	1	0.0245519
116	4	0.0982077
117	1	0.0245519
118	8	0.196415
119	10	0.245519
120	1	0.0245519
121	1	0.0245519
124	5	0.12276
125	4	0.0982077
126	1	0.0245519
127	5	0.12276
128	1	0.0245519
130	2	0.0491039
131	4	0.0982077
132	4	0.0982077
133	1	0.0245519
134	3	0.0736558
135	4	0.0982077
136	2	0.0491039
137	4	0.0982077
138	1	0.0245519
139	1	0.0245519
140	2	0.0491039
142	2	0.0491039
143	2	0.0491039
144	2	0.0491039
145	2	0.0491039
149	4	0.0982077
150	4	0.0982077
151	1	0.0245519
153	1	0.0245519
154	2	0.0491039
155	3	0.0736558
156	1	0.0245519
157	4	0.0982077
158	4	0.0982077
159	1	0.0245519
160	3	0.0736558
162	3	0.0736558
163	3	0.0736558
164	2	0.0491039
165	2	0.0491039
166	1	0.0245519
167	1	0.0245519
168	1	0.0245519
169	3	0.0736558
170	2	0.0491039
171	4	0.0982077
172	3	0.0736558
175	2	0.0491039
176	2	0.0491039
177	4	0.0982077
178	1	0.0245519
179	1	0.0245519
180	1	0.0245519
183	2	0.0491039
185	1	0.0245519
186	1	0.0245519
188	2	0.0491039
189	1	0.0245519
191	3	0.0736558
192	1	0.0245519
193	1	0.0245519
194	2	0.0491039
197	3	0.0736558
198	2	0.0491039
200	1	0.0245519
203	2	0.0491039
204	1	0.0245519
205	1	0.0245519
207	2	0.0491039
209	1	0.0245519
210	1	0.0245519
211	1	0.0245519
212	1	0.0245519
213	1	0.0245519
215	1	0.0245519
216	2	0.0491039
222	2	0.0491039
223	3	0.0736558
224	2	0.0491039
225	2	0.0491039
226	1	0.0245519
227	2	0.0491039
230	1	0.0245519
231	3	0.0736558
233	1	0.0245519
235	1	0.0245519
237	1	0.0245519
239	2	0.0491039
240	1	0.0245519
243	1	0.0245519
244	1	0.0245519
245	1	0.0245519
248	1	0.0245519
250	2	0.0491039
252	5	0.12276
254	1	0.0245519
255	1	0.0245519
256	1	0.0245519
257	1	0.0245519
258	1	0.0245519
265	2	0.0491039
266	2	0.0491039
267	1	0.0245519
268	1	0.0245519
269	1	0.0245519
271	1	0.0245519
274	3	0.0736558
276	1	0.0245519
279	3	0.0736558
281	1	0.0245519
282	1	0.0245519
284	1	0.0245519
286	3	0.0736558
287	1	0.0245519
289	3	0.0736558
290	1	0.0245519
292	1	0.0245519
293	2	0.0491039
294	1	0.0245519
295	2	0.0491039
296	1	0.0245519
298	1	0.0245519
301	1	0.0245519
303	1	0.0245519
304	3	0.0736558
305	2	0.0491039
306	2	0.0491039
307	2	0.0491039
308	3	0.0736558
309	2	0.0491039
310	5	0.12276
311	2	0.0491039
312	3	0.0736558
313	3	0.0736558
314	6	0.147312
315	6	0.147312
316	8	0.196415
317	4	0.0982077
318	2	0.0491039
319	5	0.12276
320	2	0.0491039
321	3	0.0736558
322	7	0.171863
323	6	0.147312
324	3	0.0736558
326	4	0.0982077
327	8	0.196415
328	5	0.12276
329	4	0.0982077
330	6	0.147312
331	6	0.147312
332	3	0.0736558
333	2	0.0491039
334	1	0.0245519
335	1	0.0245519
336	3	0.0736558
337	5	0.12276
339	4	0.0982077
340	2	0.0491039
341	3	0.0736558
343	3	0.0736558
344	3	0.0736558
345	1	0.0245519
346	1	0.0245519
347	1	0.0245519
348	1	0.0245519
349	1	0.0245519
352	1	0.0245519
