LENGTH	COUNT	PRCT
10	273	6.21868
11	540	12.3007
12	188	4.28246
13	289	6.58314
14	178	4.05467
15	260	5.92255
16	80	1.82232
17	139	3.16629
18	98	2.23235
19	180	4.10023
20	82	1.86788
21	96	2.18679
22	48	1.09339
23	105	2.3918
24	60	1.36674
25	82	1.86788
26	52	1.18451
27	82	1.86788
28	24	0.546697
29	54	1.23007
30	24	0.546697
31	56	1.27563
32	19	0.432802
33	41	0.933941
34	25	0.569476
35	41	0.933941
36	16	0.364465
37	29	0.660592
38	18	0.410023
39	40	0.911162
40	14	0.318907
41	18	0.410023
42	11	0.250569
43	21	0.47836
44	15	0.341686
45	18	0.410023
46	14	0.318907
47	24	0.546697
48	12	0.273349
49	8	0.182232
50	13	0.296128
51	13	0.296128
52	8	0.182232
53	9	0.205011
54	2	0.0455581
55	14	0.318907
56	5	0.113895
57	7	0.159453
58	5	0.113895
59	16	0.364465
60	9	0.205011
61	2	0.0455581
62	10	0.22779
63	8	0.182232
64	6	0.136674
65	8	0.182232
66	3	0.0683371
67	11	0.250569
68	7	0.159453
69	11	0.250569
70	4	0.0911162
71	7	0.159453
72	4	0.0911162
73	4	0.0911162
74	6	0.136674
75	4	0.0911162
76	5	0.113895
77	7	0.159453
78	2	0.0455581
79	8	0.182232
80	5	0.113895
81	10	0.22779
82	1	0.022779
83	11	0.250569
84	3	0.0683371
85	3	0.0683371
86	3	0.0683371
87	6	0.136674
88	7	0.159453
89	5	0.113895
90	1	0.022779
91	4	0.0911162
92	2	0.0455581
93	3	0.0683371
94	2	0.0455581
95	5	0.113895
96	5	0.113895
97	8	0.182232
98	2	0.0455581
99	11	0.250569
100	2	0.0455581
101	7	0.159453
102	3	0.0683371
103	2	0.0455581
104	5	0.113895
105	3	0.0683371
106	3	0.0683371
107	9	0.205011
108	1	0.022779
109	4	0.0911162
110	2	0.0455581
111	4	0.0911162
112	2	0.0455581
113	4	0.0911162
114	3	0.0683371
115	3	0.0683371
116	3	0.0683371
117	5	0.113895
118	2	0.0455581
119	9	0.205011
120	2	0.0455581
121	3	0.0683371
122	1	0.022779
123	4	0.0911162
124	3	0.0683371
125	5	0.113895
126	3	0.0683371
127	2	0.0455581
128	4	0.0911162
129	3	0.0683371
130	2	0.0455581
131	5	0.113895
132	3	0.0683371
134	3	0.0683371
135	1	0.022779
136	1	0.022779
137	3	0.0683371
139	1	0.022779
140	2	0.0455581
143	4	0.0911162
145	1	0.022779
146	2	0.0455581
147	1	0.022779
148	1	0.022779
149	3	0.0683371
150	1	0.022779
151	3	0.0683371
152	1	0.022779
153	4	0.0911162
154	3	0.0683371
155	4	0.0911162
157	1	0.022779
158	1	0.022779
159	2	0.0455581
160	3	0.0683371
161	3	0.0683371
162	1	0.022779
163	1	0.022779
164	3	0.0683371
165	3	0.0683371
166	1	0.022779
167	2	0.0455581
168	1	0.022779
169	1	0.022779
172	3	0.0683371
173	3	0.0683371
174	3	0.0683371
175	1	0.022779
176	2	0.0455581
177	3	0.0683371
178	2	0.0455581
179	2	0.0455581
180	1	0.022779
182	1	0.022779
183	2	0.0455581
184	2	0.0455581
185	2	0.0455581
186	1	0.022779
187	2	0.0455581
188	2	0.0455581
189	2	0.0455581
191	2	0.0455581
192	2	0.0455581
193	2	0.0455581
194	1	0.022779
195	1	0.022779
196	2	0.0455581
198	3	0.0683371
199	2	0.0455581
200	1	0.022779
201	1	0.022779
203	4	0.0911162
204	1	0.022779
205	1	0.022779
206	1	0.022779
207	1	0.022779
211	1	0.022779
212	1	0.022779
213	1	0.022779
214	1	0.022779
215	1	0.022779
216	2	0.0455581
219	1	0.022779
222	3	0.0683371
223	1	0.022779
224	1	0.022779
225	2	0.0455581
228	2	0.0455581
230	1	0.022779
233	3	0.0683371
234	1	0.022779
236	1	0.022779
238	1	0.022779
239	1	0.022779
240	1	0.022779
241	1	0.022779
244	1	0.022779
245	2	0.0455581
246	1	0.022779
248	2	0.0455581
250	2	0.0455581
251	1	0.022779
252	3	0.0683371
254	1	0.022779
255	2	0.0455581
257	1	0.022779
259	1	0.022779
265	1	0.022779
267	1	0.022779
269	1	0.022779
270	1	0.022779
271	2	0.0455581
272	1	0.022779
273	1	0.022779
274	2	0.0455581
276	1	0.022779
278	2	0.0455581
279	1	0.022779
281	2	0.0455581
284	1	0.022779
286	2	0.0455581
290	1	0.022779
291	2	0.0455581
293	1	0.022779
294	1	0.022779
295	1	0.022779
296	1	0.022779
297	3	0.0683371
