LENGTH	COUNT	PRCT
-1821	1	0.613497
-1570	1	0.613497
-953	1	0.613497
-942	1	0.613497
-835	1	0.613497
-831	1	0.613497
-661	1	0.613497
-463	1	0.613497
-381	1	0.613497
-367	1	0.613497
-338	1	0.613497
-331	1	0.613497
-330	1	0.613497
-322	1	0.613497
-319	1	0.613497
-311	1	0.613497
-310	1	0.613497
-309	1	0.613497
-302	1	0.613497
-256	1	0.613497
-254	1	0.613497
-251	1	0.613497
-202	1	0.613497
-193	1	0.613497
-188	1	0.613497
-165	1	0.613497
-129	1	0.613497
-127	1	0.613497
-104	1	0.613497
-103	1	0.613497
-83	1	0.613497
-81	1	0.613497
-79	2	1.22699
-66	1	0.613497
-63	1	0.613497
-61	1	0.613497
-58	1	0.613497
-56	1	0.613497
-50	1	0.613497
-49	1	0.613497
-48	1	0.613497
-47	1	0.613497
-41	1	0.613497
-40	1	0.613497
-39	1	0.613497
-38	2	1.22699
-37	1	0.613497
-36	1	0.613497
-35	1	0.613497
-34	1	0.613497
-29	2	1.22699
-28	2	1.22699
-27	1	0.613497
-26	3	1.84049
-24	2	1.22699
-22	3	1.84049
-21	1	0.613497
-20	3	1.84049
-19	1	0.613497
-18	2	1.22699
-17	3	1.84049
-16	2	1.22699
-15	2	1.22699
-14	2	1.22699
-13	1	0.613497
-12	4	2.45399
-11	2	1.22699
11	1	0.613497
12	7	4.29448
13	3	1.84049
14	5	3.06748
15	1	0.613497
16	3	1.84049
17	2	1.22699
19	1	0.613497
20	2	1.22699
21	4	2.45399
23	2	1.22699
24	2	1.22699
25	2	1.22699
26	2	1.22699
29	1	0.613497
30	2	1.22699
33	2	1.22699
34	1	0.613497
35	1	0.613497
36	2	1.22699
39	1	0.613497
41	1	0.613497
43	1	0.613497
44	1	0.613497
47	2	1.22699
48	1	0.613497
51	1	0.613497
52	2	1.22699
80	1	0.613497
81	1	0.613497
86	1	0.613497
91	1	0.613497
102	1	0.613497
104	1	0.613497
105	1	0.613497
117	2	1.22699
118	1	0.613497
132	1	0.613497
140	1	0.613497
161	1	0.613497
183	1	0.613497
185	1	0.613497
200	1	0.613497
824	1	0.613497
1424	1	0.613497
2177	1	0.613497
