LENGTH	COUNT	PRCT
-9595	1	0.458716
-3997	1	0.458716
-1821	1	0.458716
-1562	1	0.458716
-942	1	0.458716
-835	1	0.458716
-831	1	0.458716
-816	1	0.458716
-640	1	0.458716
-617	1	0.458716
-519	1	0.458716
-462	1	0.458716
-396	1	0.458716
-381	1	0.458716
-367	1	0.458716
-358	1	0.458716
-338	1	0.458716
-331	1	0.458716
-324	1	0.458716
-319	1	0.458716
-311	1	0.458716
-310	1	0.458716
-309	1	0.458716
-302	2	0.917431
-275	1	0.458716
-256	1	0.458716
-254	1	0.458716
-225	1	0.458716
-204	1	0.458716
-189	1	0.458716
-172	1	0.458716
-158	1	0.458716
-127	1	0.458716
-104	1	0.458716
-102	1	0.458716
-92	1	0.458716
-83	1	0.458716
-81	1	0.458716
-79	3	1.37615
-72	1	0.458716
-63	1	0.458716
-61	1	0.458716
-58	2	0.917431
-56	1	0.458716
-55	1	0.458716
-49	1	0.458716
-48	1	0.458716
-46	1	0.458716
-41	2	0.917431
-39	1	0.458716
-38	2	0.917431
-37	1	0.458716
-36	1	0.458716
-35	4	1.83486
-34	1	0.458716
-32	1	0.458716
-30	1	0.458716
-29	1	0.458716
-28	2	0.917431
-27	1	0.458716
-26	2	0.917431
-24	3	1.37615
-22	2	0.917431
-21	3	1.37615
-20	5	2.29358
-19	2	0.917431
-18	4	1.83486
-17	2	0.917431
-16	4	1.83486
-15	3	1.37615
-14	3	1.37615
-13	1	0.458716
-12	8	3.66972
-11	2	0.917431
10	1	0.458716
11	5	2.29358
12	6	2.75229
14	4	1.83486
15	4	1.83486
16	7	3.21101
17	4	1.83486
19	1	0.458716
20	3	1.37615
21	2	0.917431
23	1	0.458716
24	2	0.917431
26	1	0.458716
29	1	0.458716
30	3	1.37615
33	2	0.917431
34	3	1.37615
36	1	0.458716
37	1	0.458716
39	1	0.458716
42	2	0.917431
43	1	0.458716
47	2	0.917431
50	1	0.458716
52	1	0.458716
58	1	0.458716
60	1	0.458716
62	1	0.458716
66	1	0.458716
77	1	0.458716
78	1	0.458716
80	1	0.458716
81	2	0.917431
86	1	0.458716
102	1	0.458716
104	1	0.458716
105	1	0.458716
112	1	0.458716
116	1	0.458716
118	1	0.458716
122	1	0.458716
140	1	0.458716
160	1	0.458716
161	1	0.458716
175	1	0.458716
185	1	0.458716
193	1	0.458716
200	1	0.458716
237	1	0.458716
295	1	0.458716
307	1	0.458716
321	1	0.458716
323	1	0.458716
340	1	0.458716
417	1	0.458716
530	1	0.458716
695	1	0.458716
981	1	0.458716
1236	1	0.458716
1427	1	0.458716
1469	1	0.458716
1861	1	0.458716
1877	1	0.458716
2049	1	0.458716
2295	1	0.458716
2307	1	0.458716
3500	1	0.458716
7450	1	0.458716
