LENGTH	COUNT	PRCT
10	12	6.81818
11	14	7.95455
12	5	2.84091
13	7	3.97727
14	5	2.84091
15	3	1.70455
16	2	1.13636
17	3	1.70455
18	2	1.13636
19	4	2.27273
20	5	2.84091
21	4	2.27273
22	3	1.70455
23	4	2.27273
24	3	1.70455
25	1	0.568182
28	5	2.84091
29	3	1.70455
30	1	0.568182
32	4	2.27273
33	2	1.13636
34	1	0.568182
35	2	1.13636
36	1	0.568182
37	1	0.568182
39	2	1.13636
41	3	1.70455
45	1	0.568182
46	2	1.13636
50	4	2.27273
51	2	1.13636
54	1	0.568182
56	1	0.568182
57	3	1.70455
59	2	1.13636
63	2	1.13636
66	1	0.568182
77	1	0.568182
78	1	0.568182
79	1	0.568182
80	2	1.13636
103	1	0.568182
104	2	1.13636
111	1	0.568182
117	1	0.568182
124	1	0.568182
131	2	1.13636
139	1	0.568182
140	1	0.568182
154	1	0.568182
157	2	1.13636
174	1	0.568182
182	1	0.568182
184	2	1.13636
198	1	0.568182
239	1	0.568182
285	1	0.568182
312	1	0.568182
313	1	0.568182
320	1	0.568182
338	1	0.568182
339	1	0.568182
340	1	0.568182
343	1	0.568182
351	2	1.13636
691	1	0.568182
822	1	0.568182
823	1	0.568182
998	6	3.40909
1304	1	0.568182
1422	1	0.568182
2039	1	0.568182
2174	1	0.568182
2176	1	0.568182
2307	1	0.568182
4471	1	0.568182
6709	1	0.568182
7334	1	0.568182
7335	1	0.568182
7544	1	0.568182
9328	1	0.568182
